链接,名称,排名,分类,更新日,状态,最后更新,回归,倒计时
http://www.ttmeiju.vip/meiju/Game.of.Thrones.html,权力的游戏 Game of Thrones,1,奇幻类,每周一,本季终,2017-12-01 08:23,2019-04-15,44天
http://www.ttmeiju.vip/meiju/The.Big.Bang.Theory.html,生活大爆炸 The Big Bang Theory,2,喜剧类,每周二,播出中,2019-02-25 06:25,暂无,暂无
http://www.ttmeiju.vip/meiju/Westworld.html,西部世界 Westworld,3,科幻类,每周一,本季终,2018-12-02 09:05,暂无,暂无
http://www.ttmeiju.vip/meiju/Movie.html,高清电影 Movie,4,剧情类,随机,播出中,2019-03-02 12:20,暂无,暂无
http://www.ttmeiju.vip/meiju/Agents.of.S.H.I.E.L.D.html,神盾局特工 Agents of S.H.I.E.L.D.,6,科幻类,每周六,本季终,2018-10-11 17:15,暂无,暂无
http://www.ttmeiju.vip/meiju/Shameless.html,无耻家庭 Shameless US,8,喜剧类,每周一,播出中,2019-02-27 20:17,暂无,暂无
http://www.ttmeiju.vip/meiju/Young.Sheldon.html,小谢尔顿 Young Sheldon,10,喜剧类,每周五,播出中,2019-02-24 14:13,暂无,暂无
http://www.ttmeiju.vip/meiju/Modern.Family.html,摩登家庭 Modern Family,12,喜剧类,每周四,停播,2019-03-01 23:34,暂无,暂无
http://www.ttmeiju.vip/meiju/Arrow.html,绿箭侠 Arrow,14,剧情类,每周二,播出中,2019-02-20 10:26,暂无,暂无
http://www.ttmeiju.vip/meiju/House.of.Cards.html,纸牌屋 House of Cards 2013,16,律政类,每周六,本季终,2018-11-25 13:16,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Last.Ship.html,末日孤舰 The Last Ship,18,剧情类,每周一,本季终,2018-11-15 17:39,暂无,暂无
http://www.ttmeiju.vip/meiju/American.Horror.Story.html,美国恐怖故事 American Horror Story,20,惊悚类,每周四,本季终,2018-12-21 10:47,暂无,暂无
http://www.ttmeiju.vip/meiju/Black.Mirror.html,黑镜 Black Mirror,22,科幻类,每周六,本季终,2019-01-02 10:54,暂无,暂无
http://www.ttmeiju.vip/meiju/Supernatural.html,邪恶力量 Supernatural,24,奇幻类,每周五,播出中,2019-02-11 15:39,暂无,暂无
http://www.ttmeiju.vip/meiju/Person.of.Interest.html,疑犯追踪 Person of Interest,26,悬疑类,每周三,剧终,2017-01-15 13:11,暂无,暂无
http://www.ttmeiju.vip/meiju/Star.Trek.Discovery.html,星际迷航：发现号 Star Trek Discovery,28,科幻类,每周日,播出中,2019-03-01 10:24,暂无,暂无
http://www.ttmeiju.vip/meiju/Narcos.html,毒枭 Narcos,30,罪案类,每周六,剧终,2018-08-27 08:24,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Blacklist.html,黑名单 The Blacklist,32,罪案类,每周四,播出中,2019-02-24 09:48,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Marvelous.Mrs.Maisel.html,了不起的麦瑟尔女士 The Marvelous Mrs Maisel,34,剧情类,每周四,本季终,2018-12-22 15:21,暂无,暂无
http://www.ttmeiju.vip/meiju/Supergirl.html,超级少女 Supergirl,36,科幻类,每周一,播出中,2019-02-20 09:02,暂无,暂无
http://www.ttmeiju.vip/meiju/How.to.Get.Away.with.Murder.html,逍遥法外 How to Get Away with Murder,38,剧情类,每周五,播出中,2019-03-02 12:35,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Handmaids.Tale.html,使女的故事 The Handmaids Tale,40,剧情类,每周四,本季终,2018-11-29 09:24,2019-06-06,96天
http://www.ttmeiju.vip/meiju/Legends.Of.Tomorrow.html,明日传奇 Legends Of Tomorrow,42,科幻类,每周三,停播,2018-12-11 13:15,2019-04-02,31天
http://www.ttmeiju.vip/meiju/Legion.html,大群 Legion,44,科幻类,每周三,本季终,2018-09-29 22:01,暂无,暂无
http://www.ttmeiju.vip/meiju/Documentary.html,纪录片频道 Documentary,46,暂无,每周日,本季终,2018-05-24 14:04,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Good.Fight.html,傲骨之战 The Good Fight,48,律政类,每周一,本季终,2018-09-25 10:19,暂无,暂无
http://www.ttmeiju.vip/meiju/American.Gods.html,美国众神 American Gods,50,奇幻类,每周一,本季终,2017-09-23 19:27,2019-03-11,9天
http://www.ttmeiju.vip/meiju/THE.Walking.Dead.html,行尸走肉 The Walking Dead,5,剧情类,每周一,半季终,2019-02-26 17:52,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Flash.html,闪电侠 The Flash,7,科幻类,每周三,播出中,2019-02-13 11:06,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Gifted.html,天赋异禀 The Gifted,9,科幻类,每周三,停播,2019-02-28 11:51,暂无,暂无
http://www.ttmeiju.vip/meiju/This.Is.Us.html,我们这一天 This Is Us,11,剧情类,每周三,停播,2019-02-24 09:27,暂无,暂无
http://www.ttmeiju.vip/meiju/Gotham.html,哥谭 Gotham,13,剧情类,每周五,播出中,2019-03-02 12:48,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Deuce.html,堕落街传奇 The Deuce,15,剧情类,每周六,本季终,2019-02-01 09:07,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Strain.html,血族 The Strain,17,剧情类,每周一,本季终,2017-09-20 14:34,暂无,暂无
http://www.ttmeiju.vip/meiju/Better.Call.Saul.html,风骚律师 Better Call Saul,19,剧情类,每周二,本季终,2018-10-24 21:16,暂无,暂无
http://www.ttmeiju.vip/meiju/Homeland.html,国土 Homeland,21,剧情类,每周一,本季终,2018-05-03 18:11,暂无,暂无
http://www.ttmeiju.vip/meiju/2.Broke.Girls.html,破产姐妹 2 Broke Girls,23,喜剧类,每周二,被砍,2017-04-21 23:37,暂无,暂无
http://www.ttmeiju.vip/meiju/Criminal.Minds.html,犯罪心理 Criminal Minds,25,悬疑类,每周四,本季终,2019-02-17 19:54,暂无,暂无
http://www.ttmeiju.vip/meiju/Stranger.Things.html,怪奇物语 Stranger Things,27,奇幻类,每周六,本季终,2018-10-12 10:20,2019-07-05,125天
http://www.ttmeiju.vip/meiju/Elementary.html,基本演绎法 Elementary,29,悬疑类,每周二,本季终,2018-09-18 09:00,暂无,暂无
http://www.ttmeiju.vip/meiju/Rick.and.Morty.html,瑞克与莫蒂 Rick and Morty,31,动画类,每周四,本季终,2018-12-02 09:18,暂无,暂无
http://www.ttmeiju.vip/meiju/Greys.Anatomy.html,实习医生格蕾 Greys Anatomy,33,医务类,每周四,停播,2019-03-01 22:24,暂无,暂无
http://www.ttmeiju.vip/meiju/Sherlock.html,神探夏洛克 Sherlock,35,剧情类,每周五,本季终,2017-01-24 20:15,暂无,暂无
http://www.ttmeiju.vip/meiju/Counterpart.html,相对宇宙 Counterpart,37,科幻类,每周一,本季终,2019-02-18 21:53,暂无,暂无
http://www.ttmeiju.vip/meiju/Scorpion.html,天蝎 Scorpion,39,罪案类,每周二,本季终,2018-04-17 11:15,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Expanse.html,太空无垠 The Expanse,41,科幻类,每周四,本季终,2018-07-18 09:25,暂无,暂无
http://www.ttmeiju.vip/meiju/Billions.html,亿万 Billions,43,剧情类,每周一,本季终,2018-06-12 23:09,2019-03-18,16天
http://www.ttmeiju.vip/meiju/Prison.Break.html,越狱 Prison Break,45,剧情类,每周三,本季终,2017-07-07 16:43,暂无,暂无
http://www.ttmeiju.vip/meiju/True.Detective.html,真探 True Detective,47,剧情类,每周一,播出中,2019-02-27 17:15,暂无,暂无
http://www.ttmeiju.vip/meiju/Lucifer.html,路西法 Lucifer,49,奇幻类,每周一,停播,2018-08-28 08:50,暂无,暂无
http://www.ttmeiju.vip/meiju/Sense8.html,超感八人组 Sense8,52,剧情类,每周五,本季终,2018-10-03 13:55,暂无,暂无
http://www.ttmeiju.vip/meiju/Silicon.Valley.html,硅谷 Silicon Valley,54,喜剧类,每周一,本季终,2018-05-16 14:03,暂无,暂无
http://www.ttmeiju.vip/meiju/Shooter.html,生死狙击 Shooter,56,剧情类,每周五,本季终,2018-09-15 22:59,暂无,暂无
http://www.ttmeiju.vip/meiju/Inhumans.html,异人族 Inhumans,58,科幻类,每周六,被砍,2017-11-16 14:24,暂无,暂无
http://www.ttmeiju.vip/meiju/Grimm.html,格林 Grimm,60,奇幻类,每周六,剧终,2017-06-09 09:16,暂无,暂无
http://www.ttmeiju.vip/meiju/Suits.html,诉讼双雄 Suits,62,律政类,每周四,本季终,2019-02-28 14:15,暂无,暂无
http://www.ttmeiju.vip/meiju/Z.Nation.html,僵尸国度 Z Nation,64,剧情类,每周六,本季终,2018-12-29 14:52,暂无,暂无
http://www.ttmeiju.vip/meiju/Ozark.html,黑钱胜地 Ozark,66,剧情类,每周六,本季终,2018-09-19 08:43,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Vampire.Diaries.html,吸血鬼日记 The Vampire Diaries,68,奇幻类,每周六,剧终,2017-06-15 08:28,暂无,暂无
http://www.ttmeiju.vip/meiju/Saturday.Night.Live.html,周六夜现场 Saturday Night Live,70,脱口秀,每周日,本季终,2019-02-18 09:00,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Mist.html,迷雾 The Mist,72,科幻类,每周五,被砍,2017-09-08 09:58,暂无,暂无
